Distrito,Concelho,Vinho_Tinto,Vinho_Rosado,Vinho_Branco,Vinho_Total
Aveiro,Águeda,324.0,660.0,389.5,1373.5
Aveiro,Albergaria-a-Velha,29.4,0.0,0.34,29.74
Aveiro,Anadia,15377.55,8440.119999999999,5908.01,29725.68
Aveiro,Arouca,4.0,0.0,0.0,4.0
Aveiro,Aveiro,80.0,0.0,23.0,103.0
Aveiro,Castelo de Paiva,40.0,0.0,179.0,219.0
Aveiro,Estarreja,16.0,0.0,6.0,22.0
Aveiro,Ílhavo,7.5,4.0,0.0,11.5
Aveiro,Mealhada,3286.9000000000005,5.0,473.35,3765.2500000000005
Aveiro,Oliveira de Azeméis,2.06,0.0,0.0,2.06
Aveiro,Oliveira do Bairro,4895.35,35.5,900.85,5831.700000000001
Aveiro,Santa Maria da Feira,0.0,0.0,0.0,0.0
Aveiro,Sever do Vouga,60.0,0.0,0.0,60.0
Aveiro,Vagos,109.3,0.0,0.0,109.3
Aveiro,Vale de Cambra,30.0,131.77,95.0,256.77
Beja,Aljustrel,570.0,0.0,540.0,1110.0
Beja,Alvito,0.0,0.0,0.0,0.0
Beja,Beja,45.0,0.0,21.0,66.0
Beja,Castro Verde,0.0,0.0,0.0,0.0
Beja,Cuba,0.0,0.0,0.0,0.0
Beja,Ferreira do Alentejo,0.0,0.0,0.0,0.0
Beja,Mértola,0.0,0.0,0.0,0.0
Beja,Moura,33.42,0.0,43.63,77.05000000000001
Beja,Odemira,10.0,0.0,13.0,23.0
Beja,Ourique,62.5,0.0,10.0,72.5
Beja,Serpa,0.0,0.0,0.0,0.0
Beja,Vidigueira,28.5,1172.0,22.4,1222.9
Braga,Amares,27.1,30.0,127.25,184.35
Braga,Barcelos,19.5,0.0,108.7,128.2
Braga,Braga,0.0,0.0,170.0,170.0
Braga,Cabeceiras de Basto,37.9,22.5,155.0,215.4
Braga,Celorico de Basto,127.5,12.0,127.35000000000001,266.85
Braga,Esposende,0.0,0.0,0.0,0.0
Braga,Fafe,9.39,0.0,0.0,9.39
Braga,Guimarães,65.17,32.6,346.59,444.36
Braga,Póvoa de Lanhoso,0.0,0.0,0.0,0.0
Braga,Terras de Bouro,0.0,0.0,0.0,0.0
Braga,Vieira do Minho,0.0,0.0,0.0,0.0
Braga,Vila Nova de Famalicão,4.0,23.0,620.5,647.5
Braga,Vila Verde,0.0,0.0,0.0,0.0
Braga,Vizela,5.0,1.0,0.0,6.0
Bragança,Alfandega da Fé,21.3,0.0,1.0,22.3
Bragança,Bragança,49.62,8.0,18.0,75.62
Bragança,Carrazeda de Ansiães,642.29,4.5,40.8,687.59
Bragança,Freixo Espada à Cinta,978.0999999999999,5.5,449.3,1432.8999999999999
Bragança,Macedo de Cavaleiros,5109.5,0.0,2.5,5112.0
Bragança,Miranda do Douro,5698.55,11.4,1922.2,7632.15
Bragança,Mirandela,40.0,0.0,0.0,40.0
Bragança,Mogadouro,895.38,43956.14,151.89999999999998,45003.42
Bragança,Torre de Moncorvo,64.23,0.0,0.0,64.23
Bragança,Vila Flor,198.29,0.0,8.66,206.95
Bragança,Vimioso,1465.1399999999996,27.0,26.5,1518.6399999999996
Bragança,Vinhais,10410.0,0.0,1920.0,12330.0
Castelo Branco,Belmonte,59.75,0.0,2.6,62.35
Castelo Branco,Castelo Branco,135.5,0.0,0.0,135.5
Castelo Branco,Covilhã,39.43,0.0,0.0,39.43
Castelo Branco,Fundão,95.5,25.0,0.0,120.5
Castelo Branco,Oleiros,0.0,0.0,0.0,0.0
Castelo Branco,Penamacor,20.0,0.0,0.0,20.0
Castelo Branco,Proença-a-Nova,389.0,0.0,52.0,441.0
Castelo Branco,Sertã,264.0,0.0,78.0,342.0
Castelo Branco,Vila Velha de Rodão,0.0,0.0,0.0,0.0
Coimbra,Arganil,7.0,0.0,0.0,7.0
Coimbra,Cantanhede,5947.450000000001,1494.86,1024.6299999999999,8466.94
Coimbra,Coimbra,1039.8000000000002,507.0,563.3,2110.1000000000004
Coimbra,Condeixa-a-Nova,809.0,5.0,141.0,955.0
Coimbra,Figueira da Foz,15.0,0.0,0.0,15.0
Coimbra,Lousã,0.0,0.0,0.0,0.0
Coimbra,Miranda do Corvo,1005.75,0.0,242.0,1247.75
Coimbra,Montemor-o-Velho,0.0,0.0,0.0,0.0
Coimbra,Oliveira do Hospital,17.25,0.0,12.25,29.5
Coimbra,Penacova,64.0,2.0,13.0,79.0
Coimbra,Penela,547.0,47.3,164.0,758.3
Coimbra,Soure,87.0,0.0,18.0,105.0
Coimbra,Tábua,2.5,0.0,0.0,2.5
Évora,Arraiolos,8.4,0.0,371.0,379.4
Évora,Borba,0.0,0.0,0.0,0.0
Évora,Estremoz,200.0,2168.65,175.0,2543.65
Évora,Évora,0.0,0.0,0.0,0.0
Évora,Montemor-o-Novo,42.0,0.0,6.5,48.5
Évora,Mora,129.4,0.0,33.0,162.4
Évora,Mourão,0.0,0.0,0.0,0.0
Évora,Portel,0.0,0.0,0.0,0.0
Évora,Redondo,4457.82,0.0,10.0,4467.82
Évora,Reguengos Monsaraz,15.0,50.0,0.0,65.0
Évora,Vendas Novas,1150.0,0.0,500.0,1650.0
Évora,Viana do Alentejo,0.0,0.0,0.0,0.0
Évora,Vila Viçosa,25.0,0.0,25.0,50.0
Faro,Albufeira,0.0,0.0,0.0,0.0
Faro,Aljezur,24.0,13.0,8.5,45.5
Faro,Castro Marim,0.0,0.0,0.0,0.0
Faro,Faro,0.0,0.0,0.0,0.0
Faro,Lagoa (Algarve),0.17,0.27,0.62,1.06
Faro,Lagos,16.0,0.0,4.5,20.5
Faro,Loulé,0.0,0.0,0.0,0.0
Faro,Monchique,0.0,0.0,0.0,0.0
Faro,Portimão,0.0,0.0,0.0,0.0
Faro,São Brás de Alportel,90.0,0.0,0.0,90.0
Faro,Silves,41.0,0.0,3.55,44.55
Faro,Tavira,60.0,0.0,0.0,60.0
Faro,Vila do Bispo,2.2,0.0,0.0,2.2
Faro,Vila Real Santo António,0.0,0.0,0.0,0.0
Guarda,Aguiar da Beira,10.0,0.0,0.0,10.0
Guarda,Almeida,13.9,3.5,2.8,20.2
Guarda,Celorico da Beira,31.13,0.0,0.0,31.13
Guarda,Figueira Castelo Rodrigo,15.0,0.0,6.0,21.0
Guarda,Fornos de Algodres,5.0,0.0,1.5,6.5
Guarda,Gouveia,331.8,0.0,45.1,376.90000000000003
Guarda,Guarda,87.83,1.0,7.5,96.33
Guarda,Meda,1768.6699999999998,142.5,89.13,2000.2999999999997
Guarda,Pinhel,29180.4,10100.0,12984.4,52264.8
Guarda,Seia,59.5,0.0,16.5,76.0
Guarda,Trancoso,1935.5,570.0,470.0,2975.5
Guarda,Vila Nova de Foz Côa,6260.58,32.5,119.53,6412.61
Leiria,Alcobaça,814.94,37.0,282.08,1134.02
Leiria,Alvaiázere,227.0,3.0,57.0,287.0
Leiria,Ansião,187.65,0.0,29.55,217.20000000000002
Leiria,Batalha,2473.0,300.0,795.0,3568.0
Leiria,Bombarral,3824.2999999999997,2795.25,2091.35,8710.9
Leiria,Caldas da Rainha,2406.9,134.4,1271.2,3812.5
Leiria,Figueiró dos Vinhos,48.5,1.0,16.75,66.25
Leiria,Leiria,1149.0,0.0,194.0,1343.0
Leiria,Óbidos,641.3,52.6,357.3,1051.2
Leiria,Pedrógão Grande,0.0,0.0,0.0,0.0
Leiria,Peniche,0.0,0.0,0.0,0.0
Leiria,Pombal,129.0,0.0,0.0,129.0
Leiria,Porto de Mós,247.0,0.0,0.0,247.0
Lisboa,Alenquer,29866.37,1630.0,3634.5000000000005,35130.87
Lisboa,Arruda dos Vinhos,1041.0,35.0,156.0,1232.0
Lisboa,Azambuja,21547.55,555.75,3300.5,25403.8
Lisboa,Cadaval,4730.12,1958.6399999999999,2365.0,9053.76
Lisboa,Lisboa,4.0,0.0,20.0,24.0
Lisboa,Loures,12.0,50.0,552.0,614.0
Lisboa,Lourinhã,405.0,10800.0,4265.82,15470.82
Lisboa,Mafra,360.0,4.0,15.0,379.0
Lisboa,Odivelas,0.0,0.0,0.0,0.0
Lisboa,Oeiras,22.0,15.0,0.0,37.0
Lisboa,Sintra,68.05,0.0,0.0,68.05
Lisboa,Sobral de Monte Agraço,2059.5,0.0,59.31,2118.81
Lisboa,Torres Vedras,34320.11,8256.5,3863.32,46439.93
Lisboa,Vila Franca de Xira,775.0,87.75,253.15,1115.9
Portalegre,Alter do Chão,0.0,0.0,0.0,0.0
Portalegre,Arronches,0.0,0.0,0.0,0.0
Portalegre,Avis,150.0,0.0,0.0,150.0
Portalegre,Campo Maior,29.0,0.0,6.0,35.0
Portalegre,Castelo de Vide,69.5,0.0,29.3,98.8
Portalegre,Crato,0.0,0.0,0.0,0.0
Portalegre,Elvas,0.0,0.0,0.0,0.0
Portalegre,Fronteira,0.0,338.85,0.0,338.85
Portalegre,Gavião,0.0,0.0,0.0,0.0
Portalegre,Marvão,18.0,0.0,0.0,18.0
Portalegre,Monforte,0.0,0.0,0.0,0.0
Portalegre,Nisa,10.0,0.0,0.0,10.0
Portalegre,Ponte de Sor,15.0,0.0,0.0,15.0
Portalegre,Portalegre,243.55,25.0,119.75999999999999,388.31
Portalegre,Sousel,1400.0,0.0,0.0,1400.0
Porto,Amarante,48.0,124.36,295.09000000000003,467.45000000000005
Porto,Baião,62.870000000000005,5.23,651.5,719.6
Porto,Felgueiras,1034.07,110.0,4244.63,5388.7
Porto,Gondomar,30.0,0.0,12.0,42.0
Porto,Lousada,12.5,0.0,2.5,15.0
Porto,Maia,0.0,0.0,0.0,0.0
Porto,Marco de Canaveses,19.0,26.5,345.31,390.81
Porto,Matosinhos,0.0,0.0,0.0,0.0
Porto,Paços de Ferreira,0.0,0.0,0.0,0.0
Porto,Paredes,0.0,5.18,727.5,732.68
Porto,Penafiel,57.0,5.0,2552.43,2614.43
Porto,Porto,0.0,0.0,0.0,0.0
Porto,Póvoa de Varzim,0.0,0.0,0.0,0.0
Porto,Santo Tirso,27.5,175.1,373.75,576.35
Porto,Trofa,5.41,5.0,0.0,10.41
Porto,Valongo,0.93,0.0,0.0,0.93
Porto,Vila do Conde,0.0,0.0,0.0,0.0
Porto,Vila Nova de Gaia,12.5,0.0,1.5,14.0
Santarém,Abrantes,62.75,10.0,0.0,72.75
Santarém,Almeirim,8406.25,30.0,41406.82,49843.07
Santarém,Alpiarça,1770.0,1300.0,2945.9800000000005,6015.9800000000005
Santarém,Benavente,0.0,0.0,0.0,0.0
Santarém,Cartaxo,2933.07,265.0,780.0,3978.07
Santarém,Chamusca,59.0,0.0,15.0,74.0
Santarém,Coruche,147.5,0.0,20.0,167.5
Santarém,Ferreira do Zêzere,2361.3999999999996,50.0,754.04,3165.4399999999996
Santarém,Golegã,0.0,0.0,0.0,0.0
Santarém,Mação,32.0,1.8,6.0,39.8
Santarém,Ourém,4169.58,81.0,997.8,5248.38
Santarém,Rio Maior,3283.7,35.0,509.0,3827.7
Santarém,Salvaterra de Magos,6.0,15.0,3.5,24.5
Santarém,Santarém,14920.650000000001,13.0,6388.8,21322.45
Santarém,Sardoal,42.0,0.0,6.5,48.5
Santarém,Tomar,732.92,43.1,123.38,899.4
Santarém,Torres Novas,426.25,0.0,40.2,466.45
